baseline OK (fast pass, all mutants)

[tree_5_the_bar_t_t_bar_5_widened_to_t_t_bar_5] (#1) killed  tree_5: the bar T >= T_BAR_5 widened to T > T_BAR_5
[tree_5_the_alpha_comparison_p_alpha_5_widened_to_p_alpha_5] (#2) killed  tree_5: the alpha comparison p < ALPHA_5 widened to p <= ALPHA_5
[sign_flip_p_5_the_enumerated_null_s_identity_row_all_1_signs_dropped] (#3) killed  sign_flip_p_5: the enumerated null's identity row (all +1 signs) dropped
[cell_5_p_mean_sides_becomes_p_sum_sides] (#4) killed  cell_5: P = mean(sides) becomes P = sum(sides)
[cell_5_r_abs_a_f_drops_the_abs] (#5) killed  cell_5: R = abs(a - f) drops the abs
[cell_5_live_any_widened_to_all] (#6) killed  cell_5: live = any(...) widened to all(...)
[modifier_5_the_two_sided_binomial_test_narrowed_to_one_sided] (#7) killed  modifier_5: the two-sided binomial test narrowed to one-sided
[bisect_step_5_the_tie_break_flipped_toward_the_higher_step] (#8) killed  bisect_step_5: the tie-break flipped toward the HIGHER step
[plan_5_the_crossing_test_losses_a_target_losses_b_operators_swapped] (#9) killed  plan_5: the crossing test losses[a] >= target > losses[b] operators swapped
[spine_5_the_substitution_picks_the_step_below_the_excluded_point_not_abo] (#10) killed  spine_5: the substitution picks the step BELOW the excluded point, not above
[clears_5_the_binomial_significance_bar_replaced_by_a_plain_rate_floor_re] (#11) killed  clears_5: the binomial significance bar replaced by a plain rate >= floor reading
[modifier_min_cells_5_thin_threshold_8_7] (#12) killed  MODIFIER_MIN_CELLS_5 (THIN threshold): 8 -> 7
[min_live_cells_5_20_19] (#13) killed  MIN_LIVE_CELLS_5: 20 -> 19
[n_window_side_5_2_1] (#14) killed  N_WINDOW_SIDE_5: 2 -> 1
[unit_complete_5_the_per_file_sha_comparison_dropped_existence_only] (#15) killed  unit_complete_5: the per-file sha comparison dropped (existence-only)
[tolerance_failures_5_the_per_rung_tolerance_widened_from_to] (#16) killed  tolerance_failures_5: the per-rung tolerance widened from > to >=
[run_unit_5_unit_json_written_before_the_34_rung_records_not_after] (#17) killed  run_unit_5: _unit.json written BEFORE the 34 rung records, not after
[prefetcher_wait_a_background_prefetch_failure_is_never_even_printed] (#18) killed  Prefetcher.wait: a background prefetch failure is never even printed
[gate1a_loss_equal_ignores_per_doc_loss_aggregate_only] (#19) killed  gate1a: loss_equal ignores per_doc_loss (aggregate-only)
[run_the_halted_size_refusal_dropped_a_halted_size_resumes_anyway] (#20) killed  run(): the halted-size refusal dropped (a halted size resumes anyway)
[replay_pairs_5_the_replay_target_reads_the_logged_target_not_the_small_f] (#21) killed  replay_pairs_5: the replay target reads the LOGGED target, not the small final's loss
[gate4_an_orphan_unit_units_unnamed_is_never_turned_into_a_failure] (#22) survived-fast, killed by the slow suite — test_full_shape_5.py::test_refusal_routes_deliver_insufficient_data (individually re-confirmed, see PROGRESS.md)  _gate4: an orphan unit (units_unnamed) is never turned into a failure
[projection_failures_5_the_final_step_is_no_longer_excluded_from_the_ance] (#23) killed  projection_failures_5: the final step is no longer excluded from the ancestry check
[power_failures_5_n_sim_provenance_never_compared] (#24) killed  power_failures_5: n_sim provenance never compared
[main_the_write_once_refusal_dropped_a_second_write_silently_overwrites] (#25) killed  main: the write-once refusal dropped (a second write silently overwrites)
[power_bar_5_0_75_0_5] (#26) killed  POWER_BAR_5: 0.75 -> 0.5
[slice_equal_5_the_set_index_array_comparison_dropped] (#27) killed  slice_equal_5: the set_index array comparison dropped
[loss_from_per_doc_5_a_per_set_n_tokens_count_zeroed_instead_of_measured] (#28) killed  loss_from_per_doc_5: a per-set n_tokens count zeroed instead of measured
[totality_95697235f9] (#29) survived-fast, killed by the slow suite — test_totality_5.py::test_every_runner_leavable_tree_shape_gives_insufficient_data (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 958 (_check_halts...)
[totality_1bc33db24b] (#30) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 962 (frozen_check or b5.check_frozen_5...)
[totality_49618d9fb5] (#31) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 971 (lambda: b5.require_prereg_5(tag_exists=tag_exists, blob_sha=...)
[totality_ad39e59a5f] (#32) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 976 (lambda: b5.require_targets_seal_5(root, tag_exists=tag_exist...)
[totality_dbe9455868] (#33) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 984 (lambda: manifest if manifest_injected else b5.load_manifest_...)
[totality_138a23d00f] (#34) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 997 (_load_slice...)
[totality_3ec118fa91] (#35) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1010 (bt.load_battery...)
[totality_223e38694e] (#36) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1012 (b5.load_floors_5...)
